버스정류장ars번호,시간대,승차비율,하차비율
05154,15,5.64,5.17
05154,16,8.13,6.97
05154,17,10.26,7.54
05154,18,10.41,11.43
05154,19,6.16,9.23
05154,20,4.26,5.97
05154,21,3.68,5.47
05154,22,3.69,4.88
05170,0,2.68,5.1
05170,1,0.0,3.09
05170,2,0.0,0.0
05170,3,0.0,0.0
05170,4,0.0,0.0
05170,6,0.61,0.17
05170,7,9.15,1.72
05170,8,10.02,5.48
05170,9,6.02,3.15
05170,10,5.05,2.18
05170,11,5.59,2.45
05170,12,6.09,2.98
05170,13,6.01,3.57
05170,14,5.23,4.06
05170,15,5.58,4.45
05170,16,7.27,5.5
05170,17,9.23,8.36
05170,18,7.09,11.77
05170,19,4.31,8.87
05170,20,2.78,7.47
05170,21,4.03,9.47
05170,22,3.28,10.15
05175,0,2.87,5.01
05175,1,0.0,0.61
05175,2,0.0,0.0
05175,3,0.0,0.0
05175,4,0.0,0.0
05175,6,4.69,1.62
05175,7,9.57,4.17
05175,8,11.64,10.01
05175,9,7.86,7.13
05175,10,4.91,5.29
05175,11,4.08,5.18
05175,12,4.27,4.78
05175,13,4.9,6.01
05175,14,4.75,6.05
05175,15,4.03,6.19
05175,16,5.27,6.79
05175,17,8.03,7.95
05175,18,8.67,6.83
05175,19,4.68,5.12
05175,20,3.3,4.52
05175,21,3.46,3.57
05175,22,3.04,3.17
05181,0,1.18,1.8
05181,1,0.0,0.56
05181,2,0.0,0.0
05181,3,0.0,0.0
05181,4,0.0,0.0
05181,6,0.0,0.0
05181,7,7.43,14.94
05181,8,7.09,22.85
05181,9,2.2,17.72
05181,10,2.36,8.32
05181,11,4.9,2.9
05181,12,1.86,3.89
05181,13,0.84,3.28
05181,14,2.53,3.69
05181,15,7.09,2.47
05181,16,8.61,2.22
05181,17,19.93,3.06
05181,18,20.27,2.87
05181,19,5.24,1.83
05181,20,4.56,2.53
05181,21,2.53,2.94
05181,22,1.35,2.13
05182,0,0.09,0.26
05182,1,0.0,0.0
05182,2,0.0,0.0
05182,3,0.0,0.0
05182,4,0.0,0.0
05182,6,0.17,7.78
05182,7,0.97,6.49
05182,8,1.58,17.77
05182,9,1.31,9.08
05182,10,2.37,13.75
05182,11,2.58,2.98
05182,12,2.53,1.43
05182,13,2.66,3.11
05182,14,5.32,4.15
05182,15,7.24,2.85
05182,16,16.15,5.71
05182,17,12.23,8.56
05182,18,19.89,7.0
05182,19,12.96,3.24
05182,20,6.1,0.91
05182,21,2.85,0.91
05182,22,3.0,4.02
05188,0,1.73,4.03
05188,1,0.0,1.12
05188,2,0.0,0.0
05188,3,0.0,0.0
05188,4,0.0,0.0
05188,6,3.55,2.78
05188,7,12.21,5.14
05188,8,14.41,7.9
05188,9,8.94,5.62
05188,10,5.51,3.61
05188,11,4.57,4.36
05188,12,4.71,4.15
05188,13,4.23,5.6
05188,14,4.62,6.03
05188,15,5.12,6.1
05188,16,6.53,8.04
05188,17,6.69,7.7
05188,18,6.31,9.16
05188,19,3.67,5.03
05188,20,2.7,4.18
05188,21,2.41,4.96
05188,22,2.1,4.47
05192,0,5.44,4.96
05192,1,0.0,0.0
05192,2,0.0,0.0
05192,3,0.0,0.0
05192,4,0.0,0.0
05192,6,1.21,1.82
05192,7,4.98,5.2
05192,8,4.56,8.95
05192,9,3.8,6.61
05192,10,3.11,3.5
05192,11,3.44,4.1
05192,12,3.25,4.55
05192,13,3.52,5.21
